packet id,success count,RSSI,frequency error,SNR,road type,distance
24,68,-111,1082,-0.5,curve,300
25,69,-108,1065,5,curve,300
26,70,-108,1065,4.75,curve,300
27,71,-109,1065,3.75,curve,300
28,72,-107,1082,5.25,curve,300
29,73,-108,1065,4,curve,300
30,74,-108,1048,4.75,curve,300
31,75,-107,1065,5.25,curve,300
33,77,-109,1048,2.75,curve,300
34,78,-110,1065,2.25,curve,300
35,79,-109,1048,2.5,curve,300
36,80,-109,1065,2.5,curve,300
37,81,-109,1048,3.25,curve,300
38,82,-108,1048,3.5,curve,300
39,83,-109,1065,3,curve,300
40,84,-110,1065,1.25,curve,300
41,85,-112,1082,-5.75,curve,300
42,86,-111,1031,-0.25,curve,300
43,87,-112,998,-1.75,curve,300
44,88,-111,1082,1.25,curve,300
45,89,-110,1048,2,curve,300
46,90,-109,1048,2.5,curve,300
47,91,-110,1048,1.25,curve,300
48,92,-111,1082,0,curve,300
49,93,-110,1082,1,curve,300
50,94,-111,1048,0.5,curve,300
51,95,-110,1031,1.25,curve,300
52,96,-110,1048,1.25,curve,300
53,97,-111,1048,-0.5,curve,300
54,98,-110,1031,-0.25,curve,300
55,99,-112,1048,-2.25,curve,300
56,100,-112,1065,-2,curve,300
57,101,-104,1065,-1.5,curve,300
58,102,-111,1031,-0.25,curve,300
59,103,-110,1031,0.5,curve,300
60,104,-103,1048,0,curve,300
7,1,-114,629,-4,straight,300
10,2,-115,746,-6.5,straight,300
11,3,-115,729,-4.25,straight,300
12,4,-115,662,-6.5,straight,300
13,5,-114,763,-3.5,straight,300
15,7,-114,696,-3.75,straight,300
16,8,-108,629,-6.75,straight,300
17,9,-115,746,-5,straight,300
18,10,-115,796,-4.75,straight,300
19,11,-114,729,-5,straight,300
20,12,-114,763,-3.75,straight,300
21,13,-114,729,-7,straight,300
22,14,-115,729,-6.25,straight,300
24,15,-114,729,-7.25,straight,300
27,16,-115,830,-8.25,straight,300
29,17,-115,847,-4.5,straight,300
30,18,-109,796,-1.25,straight,300
33,19,-99,796,-6.5,straight,300
34,20,-105,847,-5.5,straight,300
35,21,-107,880,-5.75,straight,300
36,22,-107,813,-3.5,straight,300
37,23,-107,746,-2.75,straight,300
38,24,-107,763,-2.5,straight,300
39,25,-107,763,-3,straight,300
40,26,-107,729,-3,straight,300
43,27,-107,780,-1.5,straight,300
44,28,-108,813,-1.5,straight,300
45,29,-107,729,-1.25,straight,300
46,30,-108,813,-5.5,straight,300
47,31,-107,813,-1.5,straight,300
48,32,-109,662,-7.25,straight,300
49,33,-108,830,-4.75,straight,300
50,34,-108,780,-3.75,straight,300
51,35,-107,746,-4.5,straight,300
52,36,-108,813,-6,straight,300
43,37,-108,763,-8.5,straight,300
1,124,-112,1048,-1.5,curve,500
2,125,-110,1048,0,curve,500
3,126,-108,1031,3.5,curve,500
4,127,-108,1048,1.75,curve,500
5,128,-108,1031,1,curve,500
6,129,-108,998,0,curve,500
7,130,-108,1048,2.5,curve,500
8,131,-108,1015,1.5,curve,500
9,132,-110,1015,1.75,curve,500
10,133,-112,1031,-3.25,curve,500
11,134,-112,1048,-5.75,curve,500
12,135,-111,998,-3.5,curve,500
13,136,-108,1048,1,curve,500
14,137,-111,1065,-2.25,curve,500
15,138,-110,1048,-2,curve,500
16,139,-110,1115,-1.75,curve,500
17,140,-111,1065,-4.75,curve,500
18,141,-111,998,-4,curve,500
19,142,-112,1082,-3.5,curve,500
20,143,-112,1031,-3.75,curve,500
21,144,-112,1048,-2,curve,500
22,145,-111,1048,-1.5,curve,500
23,146,-112,1048,-1.25,curve,500
24,147,-110,1048,-0.25,curve,500
25,148,-110,1065,0.75,curve,500
26,149,-110,1048,0.75,curve,500
27,150,-111,1048,-0.75,curve,500
28,151,-111,1031,-0.75,curve,500
29,152,-104,1031,-2.25,curve,500
30,153,-111,1031,-0.5,curve,500
31,154,-110,1015,-1.75,curve,500
32,155,-111,1031,-2.25,curve,500
33,156,-110,1031,-2.5,curve,500
34,157,-109,1065,-1.25,curve,500
35,158,-110,1048,-1.25,curve,500
36,159,-110,1048,-2.25,curve,500
38,160,-99,1015,-4.25,curve,500
39,161,-109,1048,-2.25,curve,500
40,162,-109,1048,-4.25,curve,500
41,163,-109,1048,-5,curve,500
42,164,-110,1048,-3.25,curve,500
43,165,-110,1065,-3.25,curve,500
44,166,-110,1082,-7,curve,500
45,167,-109,1048,-1.25,curve,500
46,168,-109,1031,-2.75,curve,500
47,169,-109,1031,-2.5,curve,500
48,170,-108,1031,-0.25,curve,500
49,171,-108,998,0,curve,500
50,172,-109,1048,0,curve,500
51,173,-109,1065,-1,curve,500
52,174,-101,1048,-2.25,curve,500
53,175,-109,1031,-0.75,curve,500
54,176,-110,1048,-1.5,curve,500
55,177,-109,1082,-1.5,curve,500
56,178,-108,1048,-0.75,curve,500
57,179,-109,1048,-1,curve,500
58,180,-109,1048,-1.75,curve,500
59,181,-108,1031,0,curve,500
60,123,-112,998,-2.25,curve,500
2,2,-108,847,4.25,straight,500
3,3,-106,830,4,straight,500
4,4,-106,864,4.25,straight,500
5,5,-105,847,3.75,straight,500
6,6,-107,847,2,straight,500
7,7,-107,830,1.5,straight,500
8,8,-109,864,2.5,straight,500
9,9,-110,864,-2.5,straight,500
10,10,-109,830,2,straight,500
11,11,-107,947,-7.75,straight,500
12,12,-109,947,-4.5,straight,500
15,14,-109,847,0.25,straight,500
16,15,-110,914,-5.25,straight,500
17,16,-111,880,-1.25,straight,500
18,17,-109,796,-4.25,straight,500
22,19,-111,830,-4.25,straight,500
23,20,-111,864,-5,straight,500
24,21,-111,880,-4,straight,500
25,22,-113,830,-7.25,straight,500
26,23,-103,864,-2,straight,500
27,24,-111,796,-3.25,straight,500
28,25,-108,830,-3,straight,500
29,26,-112,830,-3.25,straight,500
30,27,-112,847,-4,straight,500
31,28,-112,897,-6.75,straight,500
32,29,-102,847,-5.5,straight,500
33,30,-111,847,-4.5,straight,500
35,31,-100,964,-8.75,straight,500
37,32,-103,931,-5,straight,500
38,33,-112,880,-3.25,straight,500
40,35,-112,864,-3.5,straight,500
42,36,-110,914,-3.5,straight,500
43,37,-109,880,-2.25,straight,500
44,38,-111,897,-5.5,straight,500
45,39,-111,880,-4.5,straight,500
46,40,-111,880,-4.25,straight,500
47,41,-111,830,-4.75,straight,500
49,42,-111,864,-6.25,straight,500
50,43,-109,864,-0.75,straight,500
53,44,-105,864,-4.75,straight,500
54,45,-111,897,-5.5,straight,500
55,46,-111,897,-2.25,straight,500
57,48,-110,864,-4,straight,500
